time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-09 00:00:00+00:00,5.0,2.0,15,5
2025-03-10 00:00:00+00:00,6.0,3.0,12,5
2025-03-11 00:00:00+00:00,1.0,1.0,17,5
2025-03-12 00:00:00+00:00,3.0,2.0,12,3
2025-03-13 00:00:00+00:00,5.0,3.0,27,3
2025-03-14 00:00:00+00:00,1.0,1.0,5,1
2025-03-15 00:00:00+00:00,7.0,2.0,7,2
2025-03-16 00:00:00+00:00,5.0,2.0,9,3
2025-03-17 00:00:00+00:00,5.0,3.0,1,1
2025-03-18 00:00:00+00:00,4.0,2.0,25,5
2025-03-19 00:00:00+00:00,2.0,2.0,18,6
2025-03-20 00:00:00+00:00,1.0,1.0,72,5
2025-03-21 00:00:00+00:00,9.0,2.0,19,4
2025-03-22 00:00:00+00:00,,,7,2
