referrer,views_total,views_unique
Google,1751,82
Bing,87,5
github.com,16,5
in.search.yahoo.com,16,3
edgeservices.bing.com,11,1
chatgpt.com,8,1
DuckDuckGo,3,2
search.brave.com,3,1
