time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,13,4,12,2
2026-08-12 00:00:00+00:00,3,3,12,2
2026-08-13 00:00:00+00:00,8,3,7,2
2026-08-14 00:00:00+00:00,20,16,0,0
2026-08-15 00:00:00+00:00,146,141,16,2
2026-08-16 00:00:00+00:00,1,1,0,0
2026-08-17 00:00:00+00:00,9,5,16,3
2026-08-18 00:00:00+00:00,1,1,1,1
2026-08-19 00:00:00+00:00,4,4,0,0
2026-08-20 00:00:00+00:00,8,7,1,1
2026-08-21 00:00:00+00:00,1,1,9,3
2026-08-22 00:00:00+00:00,3,2,3,3
2026-08-23 00:00:00+00:00,6,3,134,5
2026-08-24 00:00:00+00:00,1,1,27,5
