time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-17 00:00:00+00:00,2,2,256,22
2023-11-18 00:00:00+00:00,3,3,656,30
2023-11-19 00:00:00+00:00,4,3,344,20
2023-11-20 00:00:00+00:00,3,3,2592,62
2023-11-21 00:00:00+00:00,2,2,227,14
2023-11-22 00:00:00+00:00,2,2,15,5
2023-11-23 00:00:00+00:00,1,1,80,8
2023-11-24 00:00:00+00:00,2,2,101,8
2023-11-25 00:00:00+00:00,2,2,14,5
2023-11-26 00:00:00+00:00,2,2,68,4
2023-11-27 00:00:00+00:00,3,3,11,7
2023-11-28 00:00:00+00:00,2,2,2,1
2023-11-29 00:00:00+00:00,2,2,45,4
2023-11-30 00:00:00+00:00,1,1,68,10
