time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,30,10,1,1
2026-08-08 00:00:00+00:00,4,4,0,0
2026-08-09 00:00:00+00:00,2,2,0,0
2026-08-10 00:00:00+00:00,2,2,16,2
2026-08-11 00:00:00+00:00,13,4,12,2
2026-08-12 00:00:00+00:00,3,3,12,2
2026-08-13 00:00:00+00:00,8,3,7,2
2026-08-14 00:00:00+00:00,20,16,0,0
2026-08-15 00:00:00+00:00,146,141,16,2
2026-08-16 00:00:00+00:00,1,1,0,0
2026-08-17 00:00:00+00:00,9,5,16,3
2026-08-18 00:00:00+00:00,1,1,1,1
2026-08-19 00:00:00+00:00,4,4,0,0
2026-08-20 00:00:00+00:00,8,7,1,1
