time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-08 00:00:00+00:00,1,1,7.0,6.0
2024-05-09 00:00:00+00:00,2,2,92.0,6.0
2024-05-10 00:00:00+00:00,1,1,3.0,2.0
2024-05-11 00:00:00+00:00,5,2,14.0,3.0
2024-05-12 00:00:00+00:00,1,1,4.0,4.0
2024-05-13 00:00:00+00:00,1,1,22.0,5.0
2024-05-14 00:00:00+00:00,5,2,17.0,5.0
2024-05-15 00:00:00+00:00,5,2,38.0,6.0
2024-05-16 00:00:00+00:00,1,1,13.0,1.0
2024-05-17 00:00:00+00:00,1,1,5.0,1.0
2024-05-18 00:00:00+00:00,1,1,91.0,3.0
2024-05-19 00:00:00+00:00,5,2,1.0,1.0
2024-05-20 00:00:00+00:00,1,1,,
2024-05-21 00:00:00+00:00,1,1,7.0,1.0
