time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-24 00:00:00+00:00,1.0,1.0,19,8
2024-04-25 00:00:00+00:00,6.0,3.0,50,12
2024-04-26 00:00:00+00:00,1.0,1.0,31,7
2024-04-27 00:00:00+00:00,5.0,2.0,3,2
2024-04-28 00:00:00+00:00,1.0,1.0,12,6
2024-04-29 00:00:00+00:00,1.0,1.0,10,6
2024-04-30 00:00:00+00:00,5.0,2.0,29,6
2024-05-01 00:00:00+00:00,1.0,1.0,41,8
2024-05-02 00:00:00+00:00,1.0,1.0,26,3
2024-05-03 00:00:00+00:00,6.0,3.0,21,5
2024-05-04 00:00:00+00:00,4.0,3.0,6,3
2024-05-05 00:00:00+00:00,5.0,2.0,35,8
2024-05-06 00:00:00+00:00,2.0,2.0,33,10
2024-05-07 00:00:00+00:00,,,4,4
