time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-15 00:00:00+00:00,2.0,2.0,73,17
2024-02-16 00:00:00+00:00,2.0,2.0,15,7
2024-02-17 00:00:00+00:00,2.0,2.0,79,11
2024-02-18 00:00:00+00:00,3.0,3.0,44,15
2024-02-19 00:00:00+00:00,3.0,3.0,90,14
2024-02-20 00:00:00+00:00,2.0,2.0,25,8
2024-02-21 00:00:00+00:00,4.0,3.0,22,8
2024-02-22 00:00:00+00:00,3.0,3.0,142,10
2024-02-23 00:00:00+00:00,2.0,2.0,7,4
2024-02-24 00:00:00+00:00,2.0,2.0,68,13
2024-02-25 00:00:00+00:00,2.0,2.0,76,8
2024-02-26 00:00:00+00:00,3.0,3.0,59,17
2024-02-27 00:00:00+00:00,3.0,3.0,109,32
2024-02-28 00:00:00+00:00,,,12,6
