time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-17 00:00:00+00:00,2,2,79,11
2024-02-18 00:00:00+00:00,3,3,44,15
2024-02-19 00:00:00+00:00,3,3,90,14
2024-02-20 00:00:00+00:00,2,2,25,8
2024-02-21 00:00:00+00:00,4,3,22,8
2024-02-22 00:00:00+00:00,3,3,142,10
2024-02-23 00:00:00+00:00,2,2,7,4
2024-02-24 00:00:00+00:00,2,2,68,13
2024-02-25 00:00:00+00:00,2,2,76,8
2024-02-26 00:00:00+00:00,3,3,59,17
2024-02-27 00:00:00+00:00,3,3,109,32
2024-02-28 00:00:00+00:00,2,2,12,6
2024-02-29 00:00:00+00:00,2,2,7,5
2024-03-01 00:00:00+00:00,3,1,27,8
