time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-31 00:00:00+00:00,4,4,16,3
2025-09-01 00:00:00+00:00,2,2,12,1
2025-09-02 00:00:00+00:00,1,1,12,2
2025-09-03 00:00:00+00:00,1,1,12,4
2025-09-04 00:00:00+00:00,2,2,29,3
2025-09-05 00:00:00+00:00,2,2,91,3
2025-09-06 00:00:00+00:00,5,5,126,8
2025-09-07 00:00:00+00:00,2,2,2,1
2025-09-08 00:00:00+00:00,1,1,6,3
2025-09-09 00:00:00+00:00,1,1,11,3
2025-09-10 00:00:00+00:00,4,4,7,1
2025-09-11 00:00:00+00:00,3,3,27,3
2025-09-12 00:00:00+00:00,4,4,10,2
