time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,17,8,0,0
2026-06-11 00:00:00+00:00,16,6,2,2
2026-06-12 00:00:00+00:00,17,7,2,2
2026-06-13 00:00:00+00:00,21,9,0,0
2026-06-14 00:00:00+00:00,26,8,16,2
2026-06-15 00:00:00+00:00,32,9,0,0
2026-06-16 00:00:00+00:00,28,10,0,0
2026-06-17 00:00:00+00:00,28,10,1,1
2026-06-18 00:00:00+00:00,14,5,9,2
2026-06-19 00:00:00+00:00,34,10,0,0
2026-06-20 00:00:00+00:00,40,11,1,1
2026-06-21 00:00:00+00:00,42,10,20,1
2026-06-22 00:00:00+00:00,35,11,18,1
2026-06-23 00:00:00+00:00,54,15,1,1
