referrer,views_total,views_unique
Google,6593,229
github.com,5328,155
in.search.yahoo.com,406,14
Bing,250,15
Yahoo,158,11
web.telegram.org,27,2
search.brave.com,24,1
DuckDuckGo,19,1
l.instagram.com,2,1
