time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,1.0,1.0,16,2
2025-08-30 00:00:00+00:00,4.0,4.0,1,1
2025-08-31 00:00:00+00:00,4.0,4.0,16,3
2025-09-01 00:00:00+00:00,2.0,2.0,12,1
2025-09-02 00:00:00+00:00,1.0,1.0,12,2
2025-09-03 00:00:00+00:00,1.0,1.0,12,4
2025-09-04 00:00:00+00:00,2.0,2.0,29,3
2025-09-05 00:00:00+00:00,2.0,2.0,91,3
2025-09-06 00:00:00+00:00,5.0,5.0,126,8
2025-09-07 00:00:00+00:00,2.0,2.0,2,1
2025-09-08 00:00:00+00:00,1.0,1.0,6,3
2025-09-09 00:00:00+00:00,1.0,1.0,11,3
2025-09-10 00:00:00+00:00,4.0,4.0,7,1
2025-09-11 00:00:00+00:00,,,27,3
