referrer,views_total,views_unique
Google,7735,273
github.com,6561,202
Bing,445,21
Yahoo,318,15
in.search.yahoo.com,284,13
web.telegram.org,27,2
search.brave.com,25,2
DuckDuckGo,9,1
l.instagram.com,2,1
