referrer,views_total,views_unique
Google,724,94
Bing,110,10
github.com,39,11
search.brave.com,37,4
in.search.yahoo.com,26,4
web.telegram.org,7,1
DuckDuckGo,6,1
blackbox.ai,4,1
chatgpt.com,2,1
Yahoo,1,1
