time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-29 00:00:00+00:00,1,1,2639,144
2023-09-30 00:00:00+00:00,10,2,3205,116
2023-10-01 00:00:00+00:00,322,7,4867,151
2023-10-02 00:00:00+00:00,3,3,12002,380
2023-10-03 00:00:00+00:00,1,1,331,51
2023-10-04 00:00:00+00:00,3,3,391,64
2023-10-05 00:00:00+00:00,1,1,336,62
2023-10-06 00:00:00+00:00,2,2,358,60
2023-10-07 00:00:00+00:00,1,1,278,37
2023-10-08 00:00:00+00:00,21,4,285,35
2023-10-09 00:00:00+00:00,3,3,911,62
2023-10-10 00:00:00+00:00,3,2,1200,56
2023-10-11 00:00:00+00:00,1,1,551,59
2023-10-12 00:00:00+00:00,4,3,814,66
