time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,13,4,1,1
2026-07-17 00:00:00+00:00,21,6,0,0
2026-07-18 00:00:00+00:00,15,5,11,1
2026-07-19 00:00:00+00:00,8,4,1,1
2026-07-20 00:00:00+00:00,20,7,0,0
2026-07-21 00:00:00+00:00,9,4,0,0
2026-07-22 00:00:00+00:00,11,6,6,1
2026-07-23 00:00:00+00:00,15,6,1,1
2026-07-24 00:00:00+00:00,2,2,3,3
2026-07-25 00:00:00+00:00,7,3,2,2
2026-07-26 00:00:00+00:00,9,4,1,1
2026-07-27 00:00:00+00:00,22,7,0,0
2026-07-28 00:00:00+00:00,19,10,2,2
2026-07-29 00:00:00+00:00,6,6,3,3
