time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,17,5,126,5
2025-12-03 00:00:00+00:00,109,24,76,6
2025-12-04 00:00:00+00:00,8,4,46,8
2025-12-05 00:00:00+00:00,9,5,15,6
2025-12-06 00:00:00+00:00,10,6,18,4
2025-12-07 00:00:00+00:00,2,2,12,2
2025-12-08 00:00:00+00:00,3,3,46,7
2025-12-09 00:00:00+00:00,8,6,42,5
2025-12-10 00:00:00+00:00,7,3,41,8
2025-12-11 00:00:00+00:00,7,3,7,2
2025-12-12 00:00:00+00:00,9,5,18,2
2025-12-13 00:00:00+00:00,4,4,9,5
2025-12-14 00:00:00+00:00,7,3,5,3
2025-12-15 00:00:00+00:00,1,1,2,2
