referrer,views_total,views_unique
Google,1573,122
search.brave.com,213,7
in.search.yahoo.com,119,9
Bing,82,12
github.com,17,3
Yahoo,15,1
search.app,12,1
web.telegram.org,4,1
gemini.google.com,1,1
