time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-15 00:00:00+00:00,1,1,15,4
2024-03-16 00:00:00+00:00,1,1,173,4
2024-03-17 00:00:00+00:00,2,2,82,3
2024-03-18 00:00:00+00:00,2,2,47,5
2024-03-19 00:00:00+00:00,1,1,30,3
2024-03-20 00:00:00+00:00,1,1,228,12
2024-03-21 00:00:00+00:00,2,2,285,10
2024-03-22 00:00:00+00:00,1,1,37,11
2024-03-23 00:00:00+00:00,1,1,245,13
2024-03-24 00:00:00+00:00,1,1,154,14
2024-03-25 00:00:00+00:00,1,1,160,19
2024-03-26 00:00:00+00:00,1,1,299,10
2024-03-27 00:00:00+00:00,1,1,75,10
2024-03-28 00:00:00+00:00,2,2,173,10
