referrer,views_total,views_unique
Google,547,72
Bing,70,8
github.com,32,9
in.search.yahoo.com,24,3
search.brave.com,21,3
web.telegram.org,7,1
blackbox.ai,4,1
chatgpt.com,2,1
Yahoo,1,1
