time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,5.0,3.0,2,2
2025-02-28 00:00:00+00:00,1.0,1.0,9,7
2025-03-01 00:00:00+00:00,5.0,2.0,12,7
2025-03-02 00:00:00+00:00,4.0,2.0,30,4
2025-03-03 00:00:00+00:00,7.0,5.0,9,4
2025-03-04 00:00:00+00:00,1.0,1.0,8,8
2025-03-05 00:00:00+00:00,1.0,1.0,27,6
2025-03-06 00:00:00+00:00,1.0,1.0,2,2
2025-03-07 00:00:00+00:00,1.0,1.0,5,3
2025-03-08 00:00:00+00:00,2.0,2.0,18,3
2025-03-09 00:00:00+00:00,5.0,2.0,15,5
2025-03-10 00:00:00+00:00,6.0,3.0,12,5
2025-03-11 00:00:00+00:00,1.0,1.0,17,5
2025-03-12 00:00:00+00:00,,,12,3
