time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-14 00:00:00+00:00,,,49,7
2024-10-15 00:00:00+00:00,,,34,6
2024-10-16 00:00:00+00:00,,,20,9
2024-10-17 00:00:00+00:00,,,137,11
2024-10-18 00:00:00+00:00,,,111,9
2024-10-19 00:00:00+00:00,,,100,11
2024-10-20 00:00:00+00:00,,,110,14
2024-10-21 00:00:00+00:00,2.0,1.0,165,23
2024-10-22 00:00:00+00:00,2.0,1.0,82,17
2024-10-23 00:00:00+00:00,,,171,21
2024-10-24 00:00:00+00:00,,,119,16
2024-10-25 00:00:00+00:00,1.0,1.0,144,14
2024-10-26 00:00:00+00:00,,,6,1
2024-10-27 00:00:00+00:00,,,54,3
