time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-26 00:00:00+00:00,1,1,299,10
2024-03-27 00:00:00+00:00,1,1,75,10
2024-03-28 00:00:00+00:00,3,3,173,10
2024-03-29 00:00:00+00:00,1,1,80,14
2024-03-30 00:00:00+00:00,1,1,540,24
2024-03-31 00:00:00+00:00,1,1,1223,20
2024-04-01 00:00:00+00:00,1,1,11,6
2024-04-02 00:00:00+00:00,1,1,32,5
2024-04-03 00:00:00+00:00,2,2,33,5
2024-04-04 00:00:00+00:00,1,1,9,3
2024-04-05 00:00:00+00:00,1,1,10,4
2024-04-06 00:00:00+00:00,2,2,6,5
2024-04-07 00:00:00+00:00,1,1,3,2
2024-04-08 00:00:00+00:00,1,1,6,3
