time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,11,7,0,0
2026-03-27 00:00:00+00:00,7,3,32,9
2026-03-28 00:00:00+00:00,12,8,15,6
2026-03-29 00:00:00+00:00,10,6,8,3
2026-03-30 00:00:00+00:00,13,5,0,0
2026-03-31 00:00:00+00:00,5,5,4,1
2026-04-01 00:00:00+00:00,15,7,7,2
2026-04-02 00:00:00+00:00,14,10,21,3
2026-04-03 00:00:00+00:00,14,6,85,9
2026-04-04 00:00:00+00:00,9,5,44,7
2026-04-05 00:00:00+00:00,15,7,9,4
2026-04-06 00:00:00+00:00,15,7,8,2
2026-04-07 00:00:00+00:00,12,7,1,1
2026-04-08 00:00:00+00:00,7,3,3,3
