time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-18 00:00:00+00:00,2.0,2.0,47,5
2024-03-19 00:00:00+00:00,1.0,1.0,30,3
2024-03-20 00:00:00+00:00,1.0,1.0,228,12
2024-03-21 00:00:00+00:00,2.0,2.0,285,10
2024-03-22 00:00:00+00:00,1.0,1.0,37,11
2024-03-23 00:00:00+00:00,1.0,1.0,245,13
2024-03-24 00:00:00+00:00,1.0,1.0,154,14
2024-03-25 00:00:00+00:00,1.0,1.0,160,19
2024-03-26 00:00:00+00:00,1.0,1.0,299,10
2024-03-27 00:00:00+00:00,1.0,1.0,75,10
2024-03-28 00:00:00+00:00,3.0,3.0,173,10
2024-03-29 00:00:00+00:00,1.0,1.0,80,14
2024-03-30 00:00:00+00:00,1.0,1.0,540,24
2024-03-31 00:00:00+00:00,,,1223,20
